"No.","Time","Source","Destination","Protocol","Length","Info"
"8859","2547.721664","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"8860","2547.733356","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=134, Time=85120 Frames=5"
"8861","2547.733573","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=135, Time=85760 Frames=5"
"8862","2547.742843","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"8863","2547.744138","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"8864","2547.753103","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=136, Time=86400 Frames=5"
"8865","2547.758826","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"8866","2547.773618","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=137, Time=87040 Frames=5"
"8867","2547.783507","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"8868","2547.794088","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=138, Time=87680 Frames=5"
"8869","2547.794374","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=139, Time=88320 Frames=5"
"8870","2547.803253","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"8871","2547.804137","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"8872","2547.813971","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=140, Time=88960 Frames=5"
"8873","2547.822303","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"8874","2547.833377","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=141, Time=89600 Frames=5"
"8875","2547.840149","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"8876","2547.855150","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=142, Time=90240 Frames=5"
"8877","2547.855358","LgElectr_ac:0e:45 (LG K10)","a7:99:3c:fa:f0:5a (PartyMix)","SBC","617","PT=SBC, SSRC=0x0, Seq=143, Time=90880 Frames=5"
"8878","2547.866663","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"8879","2547.866888","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
