"
2017-01-03 17:14:00.907415 ," HCI Event: Command Complete (0x0e) plen 4     LE Set Scan Parameters (0x08|0x000b) ncmd 1     status 0x00 
"
2017-01-03 17:14:00.911262 ," HCI Command: LE Set Scan Enable (0x08|0x000c) plen 2     value 0x01 (scanning enabled)     filter duplicates 0x00 (disabled) 
"
2017-01-03 17:14:00.915230 ," HCI Event: Command Complete (0x0e) plen 4     LE Set Scan Enable (0x08|0x000c) ncmd 1     status 0x00 
"
2017-01-03 17:14:00.916957 ," HCI Command: LE Set Scan Enable (0x08|0x000c) plen 2     value 0x00 (scanning disabled)     filter duplicates 0x01 (enabled) 
"
2017-01-03 17:14:00.919588 ," HCI Event: Command Complete (0x0e) plen 4     LE Set Scan Enable (0x08|0x000c) ncmd 1     status 0x00 
"
2017-01-03 17:14:00.921954 ," HCI Command: LE Set Scan Parameters (0x08|0x000b) plen 7     type 0x01 (active)     interval 11.250ms window 11.250ms     own address: 0x01 (Random) policy: All 
"
2017-01-03 17:14:00.924397 ," HCI Event: Command Complete (0x0e) plen 4     LE Set Scan Parameters (0x08|0x000b) ncmd 1     status 0x00 
"
2017-01-03 17:14:00.926381 ," HCI Command: LE Set Scan Parameters (0x08|0x000b) plen 7     type 0x01 (active)     interval 5000.000ms window 5000.000ms     own address: 0x01 (Random) policy: All 
"
2017-01-03 17:14:00.934247 ," HCI Event: Command Complete (0x0e) plen 4     LE Set Scan Parameters (0x08|0x000b) ncmd 1     status 0x00 
"
2017-01-03 17:14:00.935917 ," HCI Command: LE Set Scan Enable (0x08|0x000c) plen 2     value 0x01 (scanning enabled)     filter duplicates 0x00 (disabled) 
"
2017-01-03 17:14:00.942467 ," HCI Event: Command Complete (0x0e) plen 4     LE Set Scan Enable (0x08|0x000c) ncmd 1     status 0x00 
"
2017-01-03 17:14:01.213420 ," HCI Command: Vendor (0x3f|0x0157) plen 2 
"
2017-01-03 17:14:01.218667 ," HCI Event: Command Complete (0x0e) plen 6     Vendor (0x3f|0x0157) ncmd 1 
